,name,start_date,end_date
0,WARREN,2019-03-03,2019-03-04
1,WARREN,2019-03-06,2019-03-08
2,WARREN,2019-03-13,2019-03-14
3,WARREN,2019-03-15,2019-03-17
4,WARREN,2019-03-19,2019-03-20
5,WARREN,2019-03-21,2019-03-22
6,WARREN,2019-04-01,2019-04-13
7,WARREN,2019-04-15,2019-04-16
8,WARREN,2019-04-17,2019-04-18
9,WARREN,2019-04-21,2019-04-23
10,WARREN,2019-04-26,2019-04-29
11,WARREN,2019-04-30,2019-05-01
12,WARREN,2019-05-02,2019-05-03
13,WARREN,2019-05-05,2019-08-19
14,WARREN,2019-08-23,2019-08-24
15,WARREN,2019-08-31,2019-09-02
16,WARREN,2019-09-04,2019-09-05
17,WARREN,2019-09-23,2019-09-24
18,WARREN,2019-09-25,2019-09-29
19,WARREN,2019-10-09,2019-10-10
20,WARREN,2019-10-14,2019-10-23
21,BIDEN,2019-03-03,2019-03-04
22,BIDEN,2019-03-05,2019-03-08
23,BIDEN,2019-03-13,2019-03-14
24,BIDEN,2019-03-15,2019-03-18
25,BIDEN,2019-03-19,2019-03-20
26,BIDEN,2019-03-30,2019-04-14
27,BIDEN,2019-04-15,2019-04-16
28,BIDEN,2019-04-17,2019-04-23
29,BIDEN,2019-04-26,2019-04-28
30,BIDEN,2019-04-30,2019-05-01
31,BIDEN,2019-05-02,2019-05-03
32,BIDEN,2019-05-04,2019-05-05
33,BIDEN,2019-05-06,2019-05-07
34,BIDEN,2019-05-09,2019-05-11
35,BIDEN,2019-05-12,2019-05-13
36,BIDEN,2019-05-14,2019-05-15
37,BIDEN,2019-05-19,2019-05-21
38,BIDEN,2019-05-23,2019-05-27
39,BIDEN,2019-05-28,2019-06-01
40,BIDEN,2019-06-04,2019-06-06
41,BIDEN,2019-06-08,2019-06-11
42,BIDEN,2019-06-12,2019-06-14
43,BIDEN,2019-06-15,2019-06-18
44,BIDEN,2019-06-19,2019-09-07
45,BIDEN,2019-09-08,2019-09-09
46,BIDEN,2019-09-25,2019-09-29
47,BIDEN,2019-10-05,2019-10-06
48,BIDEN,2019-10-09,2019-10-10
49,BIDEN,2019-10-14,2019-10-24
50,SANDERS,2019-03-09,2019-03-11
51,SANDERS,2019-03-15,2019-03-16
52,SANDERS,2019-03-21,2019-03-22
53,SANDERS,2019-03-29,2019-03-30
54,SANDERS,2019-04-03,2019-04-04
55,SANDERS,2019-04-15,2019-04-16
56,SANDERS,2019-04-19,2019-04-21
57,SANDERS,2019-04-25,2019-04-26
58,SANDERS,2019-05-09,2019-05-11
59,SANDERS,2019-05-19,2019-05-23
60,SANDERS,2019-05-24,2019-05-27
61,SANDERS,2019-05-28,2019-06-02
62,SANDERS,2019-06-03,2019-06-04
63,SANDERS,2019-06-05,2019-06-06
64,SANDERS,2019-06-07,2019-06-08
65,SANDERS,2019-06-12,2019-06-13
66,SANDERS,2019-06-16,2019-06-23
67,SANDERS,2019-06-25,2019-06-27
68,SANDERS,2019-06-28,2019-06-29
69,SANDERS,2019-07-01,2019-07-08
70,SANDERS,2019-07-11,2019-07-12
