,start,end,name
0,2019-03-05,2019-03-05,HARRIS
1,2019-03-08,2019-03-09,HARRIS
2,2019-03-12,2019-03-13,HARRIS
3,2019-03-15,2019-03-19,HARRIS
4,2019-03-23,2019-03-23,HARRIS
5,2019-03-25,2019-03-25,HARRIS
6,2019-03-27,2019-03-27,HARRIS
7,2019-03-29,2019-03-29,HARRIS
8,2019-04-01,2019-04-03,HARRIS
9,2019-04-06,2019-04-07,HARRIS
10,2019-04-09,2019-04-09,HARRIS
11,2019-04-15,2019-04-17,HARRIS
12,2019-04-20,2019-04-21,HARRIS
13,2019-04-23,2019-04-23,HARRIS
14,2019-04-25,2019-04-26,HARRIS
15,2019-04-30,2019-04-30,HARRIS
16,2019-05-02,2019-05-03,HARRIS
17,2019-05-05,2019-05-10,HARRIS
18,2019-05-14,2019-05-14,HARRIS
19,2019-05-16,2019-05-16,HARRIS
20,2019-05-20,2019-05-20,HARRIS
21,2019-05-30,2019-06-02,HARRIS
22,2019-06-08,2019-06-09,HARRIS
23,2019-06-13,2019-06-15,HARRIS
24,2019-06-19,2019-06-19,HARRIS
25,2019-06-23,2019-06-23,HARRIS
26,2019-06-26,2019-06-27,HARRIS
27,2019-06-29,2019-06-30,HARRIS
28,2019-07-02,2019-07-03,HARRIS
29,2019-07-05,2019-07-05,HARRIS
30,2019-07-07,2019-07-08,HARRIS
31,2019-07-11,2019-07-13,HARRIS
32,2019-07-17,2019-07-17,HARRIS
33,2019-07-19,2019-07-20,HARRIS
34,2019-07-25,2019-07-26,HARRIS
35,2019-07-28,2019-07-29,HARRIS
36,2019-08-02,2019-08-02,HARRIS
37,2019-08-04,2019-08-07,HARRIS
38,2019-08-10,2019-08-10,HARRIS
39,2019-08-12,2019-08-12,HARRIS
40,2019-08-17,2019-08-17,HARRIS
41,2019-08-19,2019-08-19,HARRIS
42,2019-08-23,2019-08-24,HARRIS
43,2019-09-03,2019-09-03,HARRIS
44,2019-09-11,2019-09-11,HARRIS
45,2019-09-14,2019-09-16,HARRIS
46,2019-09-18,2019-09-22,HARRIS
47,2019-09-24,2019-09-25,HARRIS
48,2019-09-27,2019-10-31,HARRIS
0,2019-04-05,2019-04-05,BUTTIGIEG
1,2019-04-07,2019-04-08,BUTTIGIEG
2,2019-04-11,2019-04-12,BUTTIGIEG
3,2019-05-03,2019-05-03,BUTTIGIEG
4,2019-05-18,2019-05-18,BUTTIGIEG
5,2019-06-09,2019-06-09,BUTTIGIEG
6,2019-07-06,2019-07-06,BUTTIGIEG
7,2019-07-13,2019-07-13,BUTTIGIEG
8,2019-07-26,2019-07-26,BUTTIGIEG
9,2019-07-30,2019-07-31,BUTTIGIEG
10,2019-08-09,2019-08-09,BUTTIGIEG
11,2019-08-25,2019-08-26,BUTTIGIEG
12,2019-08-28,2019-09-03,BUTTIGIEG
13,2019-09-05,2019-09-05,BUTTIGIEG
14,2019-09-07,2019-09-07,BUTTIGIEG
15,2019-09-09,2019-09-09,BUTTIGIEG
16,2019-09-16,2019-09-16,BUTTIGIEG
17,2019-09-24,2019-09-27,BUTTIGIEG
18,2019-10-03,2019-10-04,BUTTIGIEG
19,2019-10-10,2019-10-11,BUTTIGIEG
20,2019-10-13,2019-10-14,BUTTIGIEG
21,2019-10-16,2019-10-18,BUTTIGIEG
22,2019-10-20,2019-10-20,BUTTIGIEG
23,2019-10-23,2019-10-23,BUTTIGIEG
24,2019-10-26,2019-10-27,BUTTIGIEG
25,2019-10-30,2019-10-31,BUTTIGIEG
