,Date,Ground truth_Warren,Number of tweets (ALL)_Warren,Number of tweets >= 0.5_Warren,Number of tweets >= 0.6_Warren,Number of tweets >= 0.7_Warren,Ground truth_Biden,Number of tweets (ALL)_Biden,Number of tweets >= 0.5_Biden,Number of tweets >= 0.6_Biden,Number of tweets >= 0.7_Biden,Ground truth_Sanders,Number of tweets (ALL)_Sanders,Number of tweets >= 0.5_x,Number of tweets >= 0.6_Sanders,Number of tweets >= 0.7_x,Ground truth_Harris,Number of tweets (ALL)_Harris,Number of tweets >= 0.5_y,Number of tweets >= 0.6_Harris,Number of tweets >= 0.7_y,Ground truth_Buttigieg,Number of tweets (ALL)_Buttigieg,Number of tweets >= 0.5,Number of tweets >= 0.6_Buttigieg,Number of tweets >= 0.7
0,2019-03-03,7.484041855345496,4548.0,1474.0,1165.0,874.0,33.81989256010067,4520.0,1565.0,1075.0,617.0,25.34285142012146,4560.0,1938.0,1465.0,1011.0,9.540913910086887,840.0,284.0,221.0,151.0,1.81470366749002,2385.0,1649.0,1383.0,1157.0
1,2019-03-04,7.484041855345497,2060.0,658.0,524.0,395.0,33.81989256010067,1780.0,520.0,384.0,213.0,25.371972019043387,2840.0,1127.0,859.0,599.0,9.533103991696745,680.0,259.0,193.0,132.0,1.8197165314165593,706.0,460.0,412.0,328.0
2,2019-03-05,7.484041855345496,,,,,33.81989256010067,3327.0,1090.0,739.0,453.0,25.39138575165801,4040.0,1666.0,1252.0,916.0,9.527897379436649,620.0,270.0,200.0,146.0,1.8230584407009187,1324.0,851.0,727.0,605.0
3,2019-03-06,7.484041855345496,1166.0,498.0,411.0,303.0,33.81989256010067,2878.0,942.0,644.0,353.0,24.945806650563696,1080.0,398.0,294.0,209.0,9.48414855341364,3440.0,1370.0,917.0,639.0,1.8254455187611756,1200.0,780.0,678.0,558.0
4,2019-03-07,7.484041855345496,2411.0,922.0,804.0,579.0,33.81989256010067,4622.0,1595.0,1133.0,687.0,24.52858959683176,1200.0,450.0,345.0,251.0,9.441250903085024,2540.0,1118.0,807.0,558.0,1.8293617677951768,990.0,681.0,618.0,537.0
5,2019-03-08,7.484041855345496,,,,,33.81989256010067,2214.0,816.0,590.0,377.0,24.111372543099808,1860.0,773.0,600.0,447.0,9.387455623835107,3683.0,1843.0,1363.0,1000.0,1.8332780168291785,1975.0,1325.0,1125.0,900.0
6,2019-03-09,7.484041855345496,880.0,351.0,284.0,205.0,33.81989256010067,1904.0,787.0,537.0,344.0,24.075369779033327,9036.0,3658.0,2696.0,1967.0,9.332885694272964,440.0,212.0,167.0,131.0,1.83719426586318,1965.0,1245.0,1032.0,876.0
7,2019-03-10,7.484041855345496,1856.0,774.0,555.0,402.0,33.81989256010067,600.0,203.0,143.0,100.0,23.853229973612123,520.0,220.0,158.0,119.0,9.293284429095946,2880.0,1281.0,992.0,718.0,1.839767987122716,2035.0,1205.0,1045.0,885.0
8,2019-03-11,7.484041855345496,3462.0,1392.0,1046.0,800.0,33.81989256010067,2539.0,916.0,635.0,389.0,23.71678184995327,2506.0,976.0,723.0,507.0,9.263077257718123,2133.0,946.0,703.0,509.0,1.839767987122716,2000.0,1009.0,841.0,684.0
9,2019-03-12,7.484041855345496,,,,,33.81989256010067,6009.0,2374.0,1657.0,1013.0,23.121410281962987,2060.0,924.0,698.0,494.0,9.253647845115646,3353.0,1550.0,1125.0,807.0,1.839767987122716,1877.0,1064.0,905.0,741.0
10,2019-03-13,7.484041855345496,8114.0,2852.0,2242.0,1626.0,33.81989256010067,5936.0,2072.0,1417.0,884.0,22.9844847669346,1960.0,839.0,636.0,443.0,9.282807317785194,,,,,1.8466482912445021,1526.0,808.0,672.0,527.0
11,2019-03-14,7.484041855345496,2307.0,1019.0,763.0,565.0,33.81989256010067,3585.0,1609.0,1184.0,696.0,23.14610326048904,1880.0,895.0,696.0,527.0,9.309256110381753,1999.0,1060.0,797.0,559.0,1.9229820127252335,1060.0,711.0,635.0,535.0
12,2019-03-15,7.484041855345496,968.0,377.0,305.0,226.0,33.81989256010067,,,,,23.38544683415118,920.0,396.0,298.0,225.0,9.317468525076253,6339.0,3254.0,2488.0,1741.0,1.9993157342059655,1300.0,933.0,836.0,698.0
13,2019-03-16,7.484041855345496,2333.0,975.0,742.0,586.0,33.81989256010067,1727.0,772.0,557.0,346.0,23.22345257461936,1740.0,724.0,552.0,396.0,9.25543563537958,4516.0,2449.0,1906.0,1476.0,2.0898553362584247,1160.0,660.0,585.0,499.0
14,2019-03-17,7.484041855345496,,,,,33.81989256010067,340.0,133.0,93.0,42.0,23.12000551270241,839.0,391.0,298.0,209.0,9.142280526142594,3836.0,2002.0,1518.0,1098.0,2.1856896444929075,1920.0,1121.0,977.0,826.0
15,2019-03-18,7.484041855345496,40.0,23.0,19.0,13.0,33.81989256010067,3400.0,1140.0,790.0,486.0,22.99024167048194,1780.0,784.0,582.0,394.0,9.005804283138252,1360.0,615.0,467.0,328.0,2.3059146447806325,1080.0,623.0,527.0,439.0
